user,timeout,seconds,threads,stream,bandwidth,throughput,droprate-belatrix,droprate-dobby,droprate-draco,droprate-harry,latency-belatrix,latency-dobby,latency-draco,latency-harry,droprate-total,latency-total
c14jmt, 1000, 60, 50, [6], 173733.47995601318, 0.29455139152698634, 6.869428421604614, 7.10295291300878, 6.784492588369441, 6.771428571428571, 144.85247747747746, 146.07445589919817, 146.9709480122324, 147.28623965675757, 6.882075623602852, 146.29603026141638
c14jmt, 1000, 60, 100, [6], 345366.6527928078, 0.5855418782430145, 7.101167315175097, 7.224706539966462, 6.945595139464237, 6.361185983827493, 147.1796559461481, 146.88010242506402, 147.40317554533314, 146.93926309729417, 6.908163744608323, 147.10054925345986
c14jmt, 1000, 60, 150, [6], 419316.1533207843, 0.7109174148911952, 6.850250341374601, 6.826442526124489, 6.675795960287573, 7.441650693426542, 203.87405326166626, 203.747409484335, 198.97798972854, 189.1015958094774, 6.948534880303302, 198.92526207100468
c14jmt, 1000, 60, 200, [6], 421274.7838544703, 0.7142381182428492, 7.084745762711863, 6.790613309148623, 7.5327878040578415, 6.633405147975961, 287.03125380031616, 290.46849914862565, 280.8385258819251, 292.23572990041293, 7.010388005973572, 287.64350218281993
c14jmt, 1000, 60, 250, [6], 419548.4515484515, 0.7113112581862581, 6.91609977324263, 7.1582774684694925, 7.74244297112035, 6.782352274016105, 384.325700365408, 383.75547668584016, 367.5718635809988, 378.11132741209394, 7.149793121712144, 378.44109201108523
c14jmt, 1000, 60, 300, [6], 419143.8989061485, 0.7106253711380828, 7.10550250113688, 7.1396192203082505, 7.184883457795882, 6.988333899648884, 472.0275364092522, 469.9290944593605, 468.9225892965988, 470.4971992206527, 7.104584769722475, 470.34410484646605
c14jmt, 1000, 60, 350, [6], 419716.6203464861, 0.7115963750991585, 6.697854860794158, 7.199367088607595, 7.046255256279123, 6.920220546866209, 570.9814112755289, 562.7257337717696, 559.2889106247708, 553.9943181818181, 6.9659244381367715, 561.7475934634718
c14jmt, 1000, 60, 400, [6], 418899.79529681953, 0.7102115127509555, 7.134767836919592, 7.407827566647759, 7.094365241004752, 6.785633098431462, 651.0643902439025, 651.3616760597893, 650.3911825599805, 654.9007438117303, 7.105648435750891, 651.9294981688506
c14jmt, 1000, 60, 450, [6], 419928.47867345915, 0.7119555641572047, 6.729459827507944, 6.905951840072694, 6.804030340767577, 7.723485701418599, 746.6446039664193, 747.4991459248414, 737.2548590864917, 730.8401659346023, 7.040731927441704, 740.5596937280886
c14jmt, 1000, 60, 500, [6], 418817.29521019873, 0.7100716403710238, 7.164790174002047, 6.732515894641235, 6.8781264211005, 7.220461747397013, 834.616072522357, 833.8085209981741, 834.2362348919546, 829.7216394242498, 6.998973559285199, 833.0956169591839
c14jmt, 1000, 60, 50, [6], 172553.35810326732, 0.2925505881470868, 7.1086261980830665, 7.014725568942437, 6.447072072072071, 7.138711549622751, 145.9378045285182, 148.33458105384395, 146.57478182365332, 147.36625, 6.927283847180082, 147.05335435150388
c14jmt, 1000, 60, 100, [6], 340598.3139515511, 0.5774575364033188, 7.3054228715931435, 6.677704194260485, 6.779661016949152, 7.600341588385994, 147.0794180054562, 148.94426374926078, 148.11929046563193, 147.73690696241528, 7.090782417797194, 147.96996979569104
c14jmt, 1000, 60, 150, [6], 420010.5955851729, 0.7120947868943497, 6.917174452719477, 7.05244122965642, 7.318181818181818, 7.167931151624958, 201.1116498969572, 199.87475680933852, 192.37346738597353, 192.20700170773358, 7.113932163045669, 196.39171895000072
c14jmt, 1000, 60, 200, [6], 419638.3627367685, 0.71146369550369, 7.008605072463768, 6.859859633235227, 7.357935250169799, 6.795895096921322, 288.09777182515523, 289.71001458434614, 285.58699902248287, 292.5904086126743, 7.005573763197528, 288.99629851116464
c14jmt, 1000, 60, 250, [6], 421165.0000831905, 0.7140519885307999, 7.28335393953018, 6.554583664659776, 7.167851902020544, 6.295372050816697, 378.55218814401746, 387.4366642353513, 373.7648346303502, 381.84868659968527, 6.8252903892568, 380.4005934023511
c14jmt, 1000, 60, 300, [6], 419420.5794205794, 0.7110944610944611, 6.918096103601046, 6.485808731334777, 6.691660986139514, 6.496917104361727, 472.3435440566268, 476.7866894197952, 473.46572507001093, 477.6060569056051, 6.648120731359266, 475.0505038630095
c14jmt, 1000, 60, 350, [6], 418795.1855366328, 0.7100341551660034, 6.7243144840141085, 7.2256305385139745, 6.7873818471700265, 6.738636363636363, 568.7433520370822, 565.4181974038697, 562.0795357361026, 560.9943950286341, 6.868990808333618, 564.3088700514222
c14jmt, 1000, 60, 400, [6], 419326.3634547513, 0.7109347253668066, 6.889919674171287, 7.075525269733106, 6.765375854214123, 6.808365537622187, 651.4155528554071, 653.2511610853093, 655.7390666992426, 654.7808269301134, 6.8847965839351755, 653.7966518925181
c14jmt, 1000, 60, 450, [6], 419386.66888574517, 0.7110369684613465, 7.375565610859729, 6.959665574511355, 6.554200387552718, 7.090187180941577, 743.3153395212506, 742.8048573163327, 744.3686264942669, 738.932967032967, 6.994904688466344, 742.3554475912043
c14jmt, 1000, 60, 500, [6], 418885.8526518996, 0.7101878740978659, 6.992927218799909, 6.921593101100647, 6.912232833105958, 6.80557128298041, 836.2101067091868, 832.1272705107888, 833.5172203224231, 830.2251518833535, 6.908081108996731, 833.019937356438
c14jmt, 1000, 60, 50, [6], 174768.82060852466, 0.29630672981859785, 7.002129925452609, 7.123870281765019, 6.27275273032764, 6.447072072072071, 147.04609218436875, 146.08328563251288, 146.79832685987452, 147.28979837496237, 6.711456252404335, 146.80437576292962
