user,timeout,seconds,threads,stream,bandwidth,throughput,droprate-belatrix,droprate-dobby,droprate-draco,droprate-harry,latency-belatrix,latency-dobby,latency-draco,latency-harry,droprate-total,latency-total
c14jmt,1000,60,1,4,268.759686047093,0.000455660817544,63.7931034482759,100,100,100,739.285714285714,-1,-1,-1,63.7931034482759,739.285714285714
c14jmt,1000,60,1,4,268.759686047093,0.000455660817544,62.5,100,100,100,788.047619047619,-1,-1,-1,62.5,788.047619047619
jwestin,1000,60,1,4,294.360751899747,0.000499065402391,61.6666666666667,100,100,100,739.434782608696,-1,-1,-1,61.6666666666667,739.434782608696
c14jmt,1000,60,1,4,281.571842815718,0.000477382817274,61.4035087719298,100,100,100,799.545454545455,-1,-1,-1,61.4035087719298,799.545454545455
c14jmt,1000,60,1,4,294.360751899747,0.000499065402391,61.0169491525424,100,100,100,747.826086956522,-1,-1,-1,61.0169491525424,747.826086956522
c14jmt,1000,60,1,4,307.082285124036,0.00052063375706,60,100,100,100,778.125,-1,-1,-1,60,778.125
c14jmt,1000,60,1,4,281.496784512345,0.00047725556185,60,100,100,100,841.181818181818,-1,-1,-1,60,841.181818181818
c14jmt,1000,60,1,4,319.957339021464,0.000542462393903,57.6271186440678,100,100,100,843.72,-1,-1,-1,57.6271186440678,843.72
jwestin,1000,60,1,4,319.95200719892,0.000542453354219,56.140350877193,100,100,100,833.04,-1,-1,-1,56.140350877193,833.04
c14jmt,1000,60,1,4,332.755632582322,0.000564160889659,55.9322033898305,100,100,100,781.038461538462,-1,-1,-1,55.9322033898305,781.038461538462
jwestin,1000,60,1,4,332.755632582322,0.000564160889659,55.1724137931034,100,100,100,784.884615384615,-1,-1,-1,55.1724137931034,784.884615384615
jwestin,1000,60,1,4,332.678018060045,0.000564029300368,55.1724137931034,100,100,100,795.384615384615,-1,-1,-1,55.1724137931034,795.384615384615
jwestin,1000,60,1,4,345.553926143181,0.000585859385415,54.2372881355932,100,100,100,773.222222222222,-1,-1,-1,54.2372881355932,773.222222222222
jwestin,1000,60,1,4,345.5712023998,0.000585888675944,54.2372881355932,100,100,100,819.518518518519,-1,-1,-1,54.2372881355932,819.518518518519
c14jmt,1000,60,1,4,358.346248062791,0.000607547756725,52.5423728813559,100,100,100,827.428571428571,-1,-1,-1,52.5423728813559,827.428571428571
jwestin,1000,60,1,4,371.144328350747,0.000629245890894,51.6666666666667,100,100,100,801.689655172414,-1,-1,-1,51.6666666666667,801.689655172414
c14jmt,1000,60,1,4,358.35819154432,0.000607568005955,50.8771929824561,100,100,100,951.535714285714,-1,-1,-1,50.8771929824561,951.535714285714
jwestin,1000,60,1,4,383.948806825757,0.000650954872684,50,100,100,100,848.166666666667,-1,-1,-1,50,848.166666666667
jwestin,1000,60,1,4,396.700824793802,0.000672574911828,48.3333333333333,100,100,100,822.290322580645,-1,-1,-1,48.3333333333333,822.290322580645
jwestin,1000,60,1,4,422.245176768518,0.000715883342774,45,100,100,100,854.181818181818,-1,-1,-1,45,854.181818181818
c14jmt,1000,60,1,5,998.250262460631,0.001692454465164,17.8947368421053,100,100,100,529.884615384615,-1,-1,-1,17.8947368421053,529.884615384615
